# u	v	rank	gender
1	81	Full	F
1	82	Asst	M
1	83	Full	M
1	83	Full	M
1	83	Full	M
1	85	Asst	F
1	87	Asst	F
1	87	Assoc	M
1	87	Full	M
1	87	Full	M
1	89	Full	M
1	89	Full	F
1	90	Asst	F
1	90	Assoc	M
1	91	Full	M
1	92	Asst	F
1	92	Full	F
1	93	Full	M
1	94	Assoc	M
1	94	Assoc	M
1	94	Full	F
1	94	Full	M
1	94	Full	M
1	94	Full	M
1	94	Full	M
1	94	Full	M
1	94	Full	F
1	96	Full	F
1	100	Asst	M
1	101	Full	M
1	102	Asst	M
1	102	Asst	M
1	102	Asst	F
1	102	Assoc	M
1	102	Assoc	F
1	104	Assoc	F
1	104	Full	F
1	106	Assoc	F
1	108	Full	F
1	110	Full	M
1	110	Full	M
1	111	Assoc	M
1	111	Full	M
1	112	Assoc	F
1	114	Asst	F
1	119	Assoc	M
1	120	Assoc	F
1	121	Assoc	F
1	121	Full	M
1	122	Asst	M
1	122	Asst	F
1	126	Asst	F
1	130	Asst	F
1	131	Assoc	M
1	135	Assoc	M
1	135	Assoc	F
1	136	Assoc	F
1	136	Full	M
1	137	Full	M
1	142	Full	F
1	143	Assoc	F
1	144	Full	M
2	1	Asst	F
2	1	Full	F
2	1	Full	F
2	1	Full	M
2	2	Asst	F
2	2	Full	M
2	2	Full	M
2	2	Full	M
2	2	Full	M
2	2	Full	M
2	2	Full	F
2	2	Full	M
2	3	Full	M
2	4	Asst	F
2	4	Asst	M
2	4	Asst	F
2	4	Asst	F
2	4	Full	M
2	4	Full	M
2	4	Full	F
2	4	Full	M
2	4	Full	F
2	4	Full	M
2	4	Full	M
2	4	Full	M
2	5	Asst	M
2	6	Asst	F
2	6	Assoc	M
2	6	Assoc	F
2	6	Assoc	F
2	6	Full	M
2	6	Full	M
2	6	Full	F
2	7	Full	M
2	7	Full	F
2	7	Full	M
2	7	Full	M
2	7	Full	F
2	7	Full	M
2	7	Full	F
2	7	Full	M
2	8	Full	F
2	9	Full	M
2	10	Assoc	M
2	10	Full	M
2	10	Full	F
2	10	Full	F
2	10	Full	F
2	11	Full	M
2	11	Full	F
2	11	Full	F
2	11	Full	M
2	11	Full	M
2	12	Asst	F
2	12	Full	M
2	12	Full	M
2	12	Full	M
2	12	Full	M
2	13	Asst	M
2	13	Assoc	F
2	13	Full	M
2	13	Full	F
2	13	Full	M
2	13	Full	M
2	14	Asst	M
2	14	Asst	M
2	14	Assoc	M
2	14	Full	M
2	14	Full	M
2	14	Full	M
2	14	Full	M
2	14	Full	M
2	14	Full	M
2	15	Assoc	M
2	15	Assoc	M
2	15	Full	M
2	15	Full	M
2	15	Full	M
2	15	Full	M
2	16	Asst	M
2	16	Full	M
2	17	Asst	F
2	17	Full	M
2	18	Full	M
2	19	Assoc	F
2	19	Assoc	M
2	19	Full	M
2	19	Full	F
2	19	Full	M
2	19	Full	F
2	19	Full	M
2	20	Assoc	F
2	20	Assoc	M
2	20	Full	M
2	21	Assoc	M
2	21	Assoc	M
2	21	Assoc	M
2	21	Assoc	F
2	21	Assoc	M
2	21	Full	F
2	21	Full	M
2	21	Full	M
2	22	Assoc	F
2	22	Assoc	F
2	22	Full	F
2	22	Full	F
2	22	Full	F
2	23	Assoc	F
2	23	Assoc	M
2	23	Full	F
2	23	Full	M
2	23	Full	M
2	24	Asst	M
2	24	Asst	F
2	24	Assoc	M
2	24	Full	M
2	24	Full	M
2	24	Full	F
2	25	Assoc	M
2	25	Assoc	M
2	25	Assoc	M
2	25	Full	M
2	25	Full	M
2	25	Full	F
2	25	Full	F
2	25	Full	M
2	25	Full	M
2	25	Full	M
2	26	Assoc	F
2	26	Full	F
2	27	Full	M
2	27	Full	F
2	29	Asst	F
2	29	Assoc	F
2	29	Assoc	M
2	29	Assoc	F
2	29	Assoc	M
2	29	Assoc	M
2	29	Full	M
2	29	Full	M
2	29	Full	M
2	29	Full	F
2	30	Assoc	M
2	30	Full	M
2	31	Full	M
2	31	Full	M
2	31	Full	M
2	32	Asst	F
2	32	Assoc	F
2	32	Assoc	F
2	32	Full	M
2	32	Full	M
2	32	Full	F
2	33	Asst	M
2	33	Assoc	F
2	33	Full	F
2	33	Full	M
2	33	Full	M
2	33	Full	M
2	34	Full	M
2	35	Assoc	F
2	35	Full	F
2	36	Asst	M
2	36	Asst	F
2	37	Assoc	F
2	38	Assoc	M
2	38	Full	F
2	38	Full	M
2	40	Assoc	M
2	40	Assoc	M
2	41	Asst	F
2	41	Assoc	F
2	42	Asst	F
2	42	Assoc	M
2	42	Assoc	F
2	42	Full	F
2	45	Full	F
2	48	Asst	F
2	48	Full	M
2	50	Full	M
2	50	Full	F
2	51	Full	F
2	52	Full	M
2	52	Full	M
2	52	Full	F
2	53	Assoc	M
2	53	Assoc	F
2	53	Full	M
2	53	Full	M
2	54	Asst	F
2	54	Assoc	F
2	54	Full	M
2	54	Full	F
2	54	Full	M
2	54	Full	F
2	54	Full	M
2	54	Full	M
2	55	Asst	F
2	55	Assoc	M
2	55	Assoc	M
2	56	Assoc	M
2	57	Asst	M
2	57	Assoc	M
2	57	Assoc	F
2	57	Full	M
2	57	Full	M
2	57	Full	M
2	58	Assoc	F
2	58	Assoc	F
2	58	Full	F
2	60	Assoc	M
2	60	Full	F
2	62	Assoc	M
2	62	Full	M
2	64	Full	M
2	65	Assoc	F
2	65	Full	M
2	66	Full	F
2	67	Assoc	F
2	67	Full	F
2	69	Asst	F
2	70	Asst	F
2	70	Assoc	M
2	71	Assoc	F
2	71	Full	M
2	71	Full	M
2	72	Full	M
2	73	Assoc	M
2	73	Assoc	M
2	73	Full	M
2	75	Assoc	F
2	75	Assoc	M
2	75	Assoc	M
2	75	Full	F
2	75	Full	M
2	75	Full	M
2	75	Full	F
2	76	Assoc	M
2	76	Full	M
2	77	Full	M
2	77	Full	F
2	79	Asst	F
2	80	Assoc	F
2	81	Assoc	F
2	81	Assoc	F
2	81	Full	F
2	81	Full	M
2	83	Asst	F
2	83	Full	F
2	84	Asst	F
2	84	Assoc	M
2	84	Full	M
2	84	Full	M
2	85	Asst	M
2	85	Asst	F
2	85	Assoc	F
2	85	Full	M
2	88	Asst	M
2	89	Assoc	M
2	92	Assoc	M
2	92	Assoc	F
2	94	Assoc	F
2	94	Assoc	F
2	94	Assoc	F
2	94	Full	F
2	94	Full	F
2	96	Assoc	M
2	97	Asst	M
2	97	Full	M
2	101	Full	M
2	104	Asst	F
2	104	Full	M
2	105	Asst	M
2	105	Asst	F
2	105	Full	M
2	106	Asst	M
2	106	Full	M
2	110	Full	M
2	112	Asst	F
2	112	Assoc	M
2	114	Asst	F
2	115	Assoc	M
2	118	Assoc	M
2	119	Asst	M
2	120	Assoc	M
2	120	Full	M
2	121	Assoc	F
2	121	Full	M
2	122	Asst	F
2	122	Asst	F
2	122	Asst	F
2	126	Assoc	M
2	126	Assoc	M
2	126	Assoc	F
2	126	Full	M
2	127	Assoc	M
2	129	Assoc	M
2	130	Assoc	M
2	131	Full	M
2	141	Asst	F
2	141	Assoc	M
2	142	Assoc	M
2	142	Assoc	M
2	142	Assoc	F
2	142	Full	F
2	142	Full	F
2	143	Full	M
3	1	Assoc	M
3	1	Full	F
3	1	Full	M
3	2	Asst	F
3	2	Asst	M
3	2	Asst	M
3	2	Full	M
3	3	Assoc	M
3	3	Assoc	F
3	3	Assoc	M
3	3	Full	M
3	3	Full	M
3	3	Full	M
3	3	Full	M
3	3	Full	F
3	4	Asst	F
3	4	Full	F
3	4	Full	M
3	5	Asst	F
3	5	Asst	F
3	5	Assoc	M
3	5	Assoc	F
3	5	Assoc	F
3	5	Full	M
3	5	Full	M
3	5	Full	F
3	6	Asst	F
3	7	Full	M
3	7	Full	M
3	7	Full	M
3	8	Asst	M
3	8	Full	M
3	9	Full	M
3	10	Assoc	M
3	10	Full	M
3	11	Asst	M
3	11	Assoc	M
3	11	Full	M
3	11	Full	M
3	11	Full	M
3	11	Full	F
3	12	Asst	F
3	12	Assoc	F
3	12	Assoc	M
3	12	Assoc	M
3	12	Assoc	M
3	12	Full	M
3	13	Asst	M
3	13	Assoc	M
3	13	Full	M
3	13	Full	M
3	13	Full	M
3	13	Full	M
3	14	Asst	M
3	14	Asst	M
3	14	Assoc	F
3	14	Full	F
3	15	Assoc	F
3	16	Assoc	M
3	16	Assoc	F
3	16	Full	F
3	16	Full	M
3	17	Assoc	F
3	17	Assoc	F
3	17	Assoc	M
3	17	Full	M
3	17	Full	F
3	17	Full	F
3	17	Full	M
3	19	Asst	F
3	19	Asst	M
3	19	Assoc	M
3	19	Full	F
3	20	Assoc	M
3	20	Full	M
3	20	Full	M
3	21	Full	F
3	22	Assoc	F
3	22	Full	M
3	22	Full	F
3	23	Asst	F
3	23	Assoc	M
3	23	Full	M
3	24	Asst	F
3	24	Assoc	M
3	25	Assoc	M
3	25	Assoc	M
3	25	Assoc	M
3	25	Full	M
3	26	Assoc	M
3	26	Assoc	M
3	26	Full	F
3	26	Full	F
3	27	Full	M
3	27	Full	F
3	27	Full	M
3	27	Full	M
3	27	Full	M
3	27	Full	M
3	27	Full	F
3	28	Full	F
3	28	Full	M
3	29	Assoc	M
3	29	Full	M
3	30	Assoc	F
3	30	Full	F
3	30	Full	M
3	30	Full	M
3	31	Assoc	M
3	31	Full	M
3	32	Assoc	M
3	32	Assoc	M
3	32	Full	M
3	33	Asst	M
3	33	Assoc	M
3	33	Assoc	M
3	33	Assoc	M
3	33	Full	M
3	33	Full	F
3	33	Full	M
3	35	Assoc	F
3	37	Assoc	F
3	37	Assoc	M
3	37	Assoc	M
3	37	Assoc	M
3	37	Full	M
3	37	Full	M
3	38	Assoc	F
3	38	Full	F
3	38	Full	M
3	38	Full	M
3	40	Assoc	F
3	40	Full	F
3	41	Assoc	F
3	42	Full	M
3	44	Assoc	M
3	44	Assoc	F
3	44	Assoc	F
3	44	Assoc	F
3	49	Full	M
3	50	Asst	F
3	50	Full	M
3	51	Assoc	F
3	51	Assoc	F
3	51	Full	M
3	52	Assoc	F
3	52	Assoc	M
3	52	Assoc	M
3	52	Full	M
3	52	Full	M
3	52	Full	F
3	52	Full	F
3	53	Asst	M
3	53	Full	M
3	54	Assoc	F
3	54	Full	M
3	55	Asst	M
3	55	Assoc	M
3	55	Assoc	F
3	56	Assoc	F
3	56	Assoc	M
3	57	Assoc	M
3	57	Assoc	F
3	57	Full	M
3	57	Full	M
3	59	Assoc	M
3	59	Full	M
3	60	Assoc	F
3	60	Full	F
3	61	Asst	F
3	61	Assoc	M
3	61	Assoc	F
3	63	Asst	F
3	63	Asst	F
3	63	Assoc	M
3	64	Assoc	M
3	65	Assoc	F
3	67	Assoc	M
3	67	Full	M
3	68	Asst	M
3	68	Full	F
3	69	Assoc	F
3	69	Assoc	M
3	69	Assoc	F
3	69	Assoc	M
3	69	Assoc	F
3	72	Assoc	M
3	78	Asst	F
3	78	Assoc	F
3	80	Full	M
3	81	Asst	M
3	81	Asst	F
3	81	Asst	M
3	81	Assoc	M
3	81	Assoc	M
3	81	Assoc	F
3	81	Full	M
3	82	Assoc	M
3	83	Full	M
3	84	Assoc	M
3	84	Full	M
3	85	Full	M
3	85	Full	M
3	87	Assoc	M
3	89	Full	M
3	90	Full	M
3	91	Assoc	F
3	92	Asst	M
3	92	Assoc	F
3	92	Assoc	F
3	92	Full	M
3	93	Full	M
3	94	Full	M
3	94	Full	M
3	96	Full	F
3	97	Asst	F
3	97	Asst	M
3	97	Full	M
3	99	Assoc	M
3	101	Full	M
3	102	Assoc	M
3	102	Full	M
3	102	Full	F
3	106	Assoc	M
3	106	Assoc	F
3	110	Assoc	F
3	112	Assoc	M
3	112	Full	M
3	112	Full	M
3	116	Full	F
3	116	Full	M
3	118	Assoc	M
3	119	Full	F
3	119	Full	M
3	119	Full	M
3	123	Full	M
3	126	Asst	M
3	126	Full	F
3	128	Full	M
3	132	Asst	F
3	133	Full	M
3	136	Asst	M
3	137	Assoc	M
3	141	Assoc	M
3	142	Asst	M
3	142	Assoc	M
4	1	Full	F
4	1	Full	M
4	2	Assoc	M
4	2	Full	M
4	3	Assoc	F
4	3	Assoc	F
4	3	Full	M
4	3	Full	M
4	3	Full	M
4	3	Full	M
4	3	Full	M
4	4	Asst	M
4	4	Asst	M
4	4	Full	M
4	4	Full	F
4	4	Full	M
4	4	Full	F
4	5	Assoc	M
4	5	Assoc	M
4	6	Assoc	F
4	6	Full	M
4	6	Full	M
4	6	Full	M
4	7	Asst	M
4	7	Assoc	F
4	7	Assoc	M
4	7	Assoc	F
4	7	Assoc	M
4	9	Full	M
4	10	Full	F
4	10	Full	M
4	11	Assoc	F
4	11	Assoc	F
4	11	Full	M
4	12	Asst	M
4	12	Assoc	F
4	12	Assoc	M
4	12	Assoc	M
4	12	Full	M
4	12	Full	M
4	12	Full	F
4	12	Full	M
4	13	Assoc	M
4	13	Full	M
4	13	Full	M
4	13	Full	M
4	13	Full	M
4	13	Full	M
4	13	Full	M
4	14	Asst	F
4	14	Full	F
4	15	Assoc	F
4	15	Full	M
4	17	Assoc	F
4	17	Assoc	M
4	18	Assoc	M
4	18	Full	M
4	18	Full	M
4	18	Full	M
4	19	Full	F
4	19	Full	F
4	21	Asst	F
4	21	Asst	M
4	22	Assoc	F
4	22	Full	M
4	23	Asst	M
4	23	Assoc	M
4	23	Assoc	F
4	23	Full	M
4	23	Full	M
4	24	Assoc	M
4	24	Assoc	M
4	24	Assoc	F
4	25	Full	M
4	25	Full	M
4	25	Full	F
4	26	Assoc	F
4	26	Full	M
4	26	Full	M
4	27	Assoc	M
4	29	Assoc	M
4	31	Full	M
4	31	Full	M
4	31	Full	M
4	33	Full	M
4	34	Full	M
4	35	Full	M
4	36	Full	M
4	37	Assoc	F
4	38	Assoc	M
4	38	Assoc	F
4	38	Full	M
4	38	Full	M
4	39	Full	M
4	40	Assoc	M
4	43	Asst	F
4	43	Asst	M
4	43	Assoc	F
4	44	Assoc	F
4	44	Full	M
4	47	Asst	F
4	48	Asst	M
4	48	Full	F
4	48	Full	M
4	49	Asst	F
4	49	Full	M
4	49	Full	F
4	50	Full	M
4	52	Assoc	F
4	52	Assoc	M
4	52	Full	M
4	53	Asst	M
4	53	Asst	M
4	53	Assoc	F
4	53	Assoc	M
4	53	Assoc	M
4	54	Asst	M
4	54	Full	M
4	55	Assoc	F
4	55	Assoc	M
4	57	Assoc	F
4	57	Full	M
4	57	Full	F
4	58	Asst	F
4	60	Asst	F
4	60	Full	M
4	61	Asst	M
4	62	Assoc	M
4	63	Assoc	M
4	65	Assoc	F
4	67	Assoc	F
4	68	Assoc	M
4	68	Assoc	M
4	68	Assoc	F
4	68	Assoc	F
4	69	Assoc	M
4	72	Assoc	M
4	73	Assoc	M
4	75	Assoc	F
4	76	Full	M
4	77	Asst	M
4	77	Full	M
4	78	Assoc	F
4	80	Asst	F
4	81	Assoc	M
4	81	Assoc	F
4	82	Assoc	M
4	82	Assoc	M
4	85	Full	M
4	87	Assoc	F
4	88	Asst	F
4	89	Assoc	M
4	89	Full	F
4	90	Full	M
4	91	Assoc	M
4	94	Assoc	F
4	94	Assoc	M
4	96	Full	M
4	97	Assoc	M
4	100	Assoc	M
4	101	Full	M
4	102	Asst	F
4	102	Asst	F
4	104	Asst	F
4	104	Asst	M
4	105	Assoc	M
4	114	Asst	F
4	117	Asst	M
4	117	Full	M
4	119	Asst	F
4	119	Assoc	F
4	119	Assoc	M
4	121	Full	M
4	122	Asst	M
4	122	Full	M
4	126	Assoc	M
4	127	Asst	M
4	127	Assoc	M
4	129	Assoc	F
4	129	Full	F
4	136	Asst	M
4	136	Full	M
4	142	Assoc	F
4	142	Assoc	F
5	1	Full	M
5	2	Assoc	F
5	2	Full	F
5	2	Full	F
5	2	Full	M
5	3	Assoc	M
5	3	Full	F
5	3	Full	M
5	4	Asst	M
5	4	Asst	M
5	5	Full	M
5	5	Full	M
5	5	Full	M
5	6	Asst	F
5	6	Asst	F
5	6	Assoc	M
5	6	Full	M
5	7	Asst	F
5	7	Asst	M
5	7	Assoc	M
5	7	Full	F
5	7	Full	M
5	7	Full	M
5	8	Full	F
5	9	Assoc	F
5	9	Assoc	M
5	9	Full	M
5	9	Full	M
5	10	Assoc	F
5	11	Assoc	M
5	12	Asst	F
5	12	Asst	F
5	12	Assoc	M
5	12	Full	F
5	12	Full	M
5	12	Full	M
5	12	Full	F
5	13	Assoc	M
5	13	Assoc	M
5	13	Full	F
5	13	Full	F
5	13	Full	M
5	13	Full	M
5	15	Assoc	F
5	16	Assoc	F
5	17	Asst	M
5	17	Asst	M
5	17	Asst	F
5	17	Full	M
5	17	Full	M
5	18	Full	M
5	18	Full	M
5	19	Assoc	F
5	19	Full	M
5	20	Full	M
5	20	Full	F
5	21	Full	F
5	22	Assoc	M
5	22	Assoc	M
5	23	Assoc	M
5	23	Full	F
5	24	Asst	M
5	24	Assoc	M
5	24	Full	M
5	26	Full	M
5	26	Full	M
5	26	Full	F
5	26	Full	M
5	27	Asst	M
5	27	Assoc	F
5	27	Assoc	M
5	27	Full	M
5	27	Full	M
5	29	Assoc	M
5	29	Assoc	F
5	29	Assoc	F
5	29	Assoc	M
5	29	Full	F
5	30	Assoc	F
5	30	Full	F
5	30	Full	M
5	30	Full	F
5	30	Full	M
5	30	Full	F
5	30	Full	M
5	32	Asst	M
5	32	Asst	F
5	32	Full	M
5	33	Asst	M
5	33	Assoc	M
5	33	Full	M
5	33	Full	F
5	33	Full	M
5	34	Assoc	F
5	34	Assoc	F
5	36	Assoc	M
5	36	Full	M
5	37	Full	M
5	37	Full	F
5	38	Full	M
5	39	Assoc	F
5	40	Assoc	M
5	40	Assoc	F
5	40	Full	F
5	40	Full	M
5	40	Full	M
5	40	Full	M
5	42	Assoc	M
5	43	Assoc	M
5	43	Assoc	F
5	43	Full	M
5	44	Assoc	F
5	44	Assoc	M
5	44	Full	M
5	45	Full	M
5	47	Full	M
5	48	Asst	M
5	48	Assoc	M
5	48	Assoc	M
5	48	Assoc	F
5	48	Full	M
5	49	Asst	F
5	50	Assoc	F
5	51	Asst	F
5	51	Assoc	F
5	51	Full	F
5	51	Full	F
5	52	Full	M
5	53	Asst	F
5	53	Full	F
5	54	Asst	F
5	54	Asst	F
5	54	Full	M
5	55	Assoc	M
5	55	Assoc	F
5	56	Asst	F
5	57	Assoc	F
5	57	Full	M
5	58	Full	M
5	61	Assoc	F
5	62	Full	M
5	64	Assoc	F
5	67	Full	M
5	68	Assoc	F
5	70	Asst	M
5	70	Assoc	F
5	75	Asst	M
5	77	Assoc	F
5	78	Assoc	M
5	81	Assoc	M
5	83	Full	M
5	84	Full	M
5	84	Full	F
5	84	Full	M
5	88	Asst	F
5	89	Full	M
5	91	Asst	F
5	92	Full	F
5	96	Assoc	F
5	96	Full	M
5	97	Assoc	F
5	98	Assoc	M
5	100	Asst	M
5	102	Full	M
5	106	Full	M
5	107	Full	M
5	117	Full	M
5	121	Asst	M
5	121	Full	M
5	124	Assoc	F
5	133	Assoc	F
5	142	Assoc	M
6	1	Full	M
6	2	Full	M
6	3	Full	F
6	4	Asst	M
6	4	Full	M
6	5	Asst	M
6	5	Asst	M
6	5	Full	M
6	6	Asst	M
6	6	Asst	M
6	6	Assoc	F
6	6	Full	M
6	6	Full	M
6	6	Full	M
6	6	Full	M
6	7	Asst	M
6	7	Assoc	M
6	7	Full	M
6	7	Full	F
6	7	Full	M
6	7	Full	M
6	7	Full	M
6	8	Full	M
6	10	Full	M
6	10	Full	M
6	11	Asst	M
6	12	Assoc	M
6	12	Assoc	F
6	12	Assoc	M
6	12	Full	F
6	12	Full	M
6	12	Full	F
6	13	Assoc	F
6	13	Assoc	M
6	13	Assoc	M
6	13	Full	F
6	14	Asst	M
6	14	Asst	F
6	14	Full	M
6	15	Assoc	M
6	15	Full	M
6	16	Asst	F
6	16	Full	M
6	16	Full	M
6	16	Full	M
6	17	Full	M
6	18	Assoc	M
6	18	Assoc	F
6	19	Assoc	F
6	19	Assoc	M
6	19	Assoc	M
6	19	Full	M
6	20	Asst	M
6	20	Assoc	M
6	20	Assoc	M
6	20	Assoc	F
6	20	Full	M
6	21	Full	M
6	21	Full	M
6	21	Full	M
6	22	Assoc	F
6	22	Full	F
6	22	Full	F
6	23	Assoc	F
6	23	Assoc	M
6	23	Full	M
6	23	Full	M
6	24	Full	M
6	24	Full	F
6	24	Full	F
6	25	Asst	M
6	25	Full	M
6	25	Full	F
6	26	Asst	M
6	26	Assoc	F
6	26	Assoc	F
6	29	Asst	M
6	29	Assoc	F
6	29	Full	F
6	30	Assoc	M
6	30	Full	M
6	31	Asst	M
6	31	Asst	M
6	31	Asst	F
6	31	Full	M
6	32	Assoc	M
6	32	Full	M
6	32	Full	M
6	33	Assoc	F
6	33	Full	M
6	33	Full	F
6	34	Asst	F
6	34	Asst	F
6	34	Full	M
6	35	Asst	F
6	35	Assoc	M
6	35	Assoc	F
6	35	Full	M
6	35	Full	M
6	36	Asst	M
6	36	Asst	M
6	36	Assoc	F
6	36	Assoc	M
6	37	Full	M
6	37	Full	F
6	39	Asst	M
6	39	Assoc	M
6	39	Assoc	F
6	39	Full	M
6	39	Full	M
6	41	Assoc	F
6	41	Assoc	F
6	41	Full	M
6	42	Assoc	M
6	42	Assoc	M
6	42	Full	M
6	42	Full	F
6	43	Asst	F
6	43	Full	M
6	44	Full	F
6	46	Asst	F
6	46	Assoc	F
6	48	Asst	M
6	48	Asst	M
6	48	Assoc	F
6	48	Full	M
6	51	Assoc	F
6	51	Assoc	M
6	51	Full	M
6	52	Assoc	M
6	52	Full	M
6	52	Full	M
6	53	Assoc	M
6	53	Full	F
6	55	Full	F
6	56	Asst	F
6	56	Assoc	M
6	59	Assoc	M
6	60	Assoc	F
6	60	Assoc	M
6	60	Assoc	F
6	60	Assoc	M
6	60	Full	F
6	60	Full	M
6	62	Asst	M
6	62	Full	F
6	62	Full	M
6	63	Asst	M
6	63	Asst	M
6	63	Assoc	M
6	64	Asst	F
6	64	Assoc	M
6	64	Full	M
6	64	Full	F
6	65	Assoc	M
6	65	Full	F
6	65	Full	M
6	65	Full	M
6	65	Full	M
6	65	Full	M
6	65	Full	M
6	66	Full	F
6	67	Asst	M
6	67	Full	M
6	67	Full	M
6	67	Full	F
6	68	Assoc	M
6	68	Full	M
6	69	Assoc	M
6	71	Full	M
6	73	Asst	F
6	73	Assoc	M
6	74	Full	F
6	75	Assoc	M
6	75	Assoc	M
6	77	Asst	F
6	77	Full	F
6	78	Asst	F
6	78	Assoc	F
6	79	Asst	F
6	81	Asst	M
6	81	Assoc	F
6	84	Asst	M
6	84	Asst	M
6	84	Assoc	F
6	85	Assoc	F
6	85	Full	M
6	87	Asst	M
